date,post id,likes,comments,shares,saved,impressions,reach,video_views,plays,replies,interactions,engagement_rate
2023-02-12,3,18100,814,0,1065,711870,624161,0,0,0,19979,7.84
2023-02-13,9,13920,349,5,578,520056,514517,2385,14379,0,14847,22.85
2023-02-14,11,12683,300,52,577,428751,487062,0,72140,0,13560,24.16
2023-02-15,9,34730,1770,0,1919,1202697,1089081,0,0,0,38419,28.53
2023-02-16,7,19217,889,371,1371,622893,724242,0,120012,0,21477,20.58
2023-02-17,7,15755,1021,26,851,567800,565829,0,30662,0,17627,19.15
2023-02-18,9,13404,248,11,790,530970,538830,0,50591,0,14442,19.24
2023-02-19,5,19347,868,1,1272,702387,675690,0,7742,0,21487,13.68
2023-02-20,9,22770,670,13,1534,872709,843300,0,13927,0,24974,23.34
2023-02-21,7,9815,434,127,371,330242,406754,0,95763,0,10620,15.26
2023-02-22,9,27271,2132,76,1318,993455,986931,0,54158,0,30721,23.23
2023-02-23,9,21303,1421,698,1173,642338,826881,0,217337,0,23897,23.38
2023-02-24,10,35910,2372,730,1668,1065907,1145046,0,142955,0,39950,30.23
2023-02-25,7,27155,925,1,5300,1007122,924415,0,17417,0,33380,17.26
2023-02-26,7,22010,927,287,1040,757059,798845,0,80365,0,23977,18.22
2023-02-27,12,22989,789,0,1944,980639,926098,2817,5436,0,25722,25.24
2023-02-28,16,23796,893,315,1302,741145,860818,0,146943,0,29194,30.2
2023-03-01,22,17197,664,0,928,665695,646869,0,6103,0,35810,22.44
2023-03-02,20,17283,596,0,764,728146,696603,0,0,0,37809,18.42
2023-03-03,21,31615,1480,0,1350,1209423,1146689,0,0,0,53274,26.81
2023-03-04,7,9689,431,0,737,434222,405272,0,0,0,10857,15.299999999999999
2023-03-05,5,7202,272,0,904,346744,326888,0,0,0,14391,7.130000000000001
2023-03-06,16,11113,504,30,506,441146,509174,4440,96437,0,26869,14.350000000000001
2023-03-07,24,35331,1771,3,1600,1219932,1155257,0,13582,0,61764,28.02
2023-03-08,17,21412,1016,1067,980,657407,768411,0,141095,0,36976,19.71
2023-03-09,25,18367,1079,0,772,855123,816259,0,0,0,45536,15.39
2023-03-10,15,16223,761,135,714,541338,599110,0,82939,0,30534,17.34
2023-03-11,9,13448,517,0,981,552843,533775,0,0,0,25059,12.43
2023-03-12,10,27457,843,0,1748,951154,891809,0,0,0,43627,19.25
2023-03-13,18,20270,498,471,1046,609354,674234,0,90449,0,45248,20.43
2023-03-14,14,4875,123,0,168,154079,148763,0,0,0,8790,413.6
