date,post id,content/type,text,link post,likes,comments,shares,saved,impressions,reach,video_views,plays,replies,interactions,engagement_rate
2023-03-14,6410028bceec3e7b0828c5ba,photo,"Industri Kripto terancam ambruk pasca keruntuhan dua bank yang 'paling bersahabat dengan sektor crypto' serta satu bank raksasa yang melayani klien startup teknologi dalam waktu kurang dari seminggu. 

Bank tersebut adalah Silvergate Capital, Signature Bank dan Silicon Valley Bank (SVB).

Signature dan Silvergate adalah dua bank utama untuk perusahaan crypto, dan hampir setengah dari semua usaha startup yang didukung AS menyimpan dana di Silicon Valley Bank. Termasuk dana modal ventura ramah crypto dan beberapa perusahaan aset digital.

Ketidakstabilan sekali lagi menunjukkan kerentanan stablecoin, yakni salah satu jenis aset kripto yang dirancang untuk dilindungi dari volatilitas harga yang terjadi. 

Baca artikel selengkapnya di cnbcindonesia.com (klik link di bio)
---
#pasarkripto #kripto #crypto #industrikripto #startup #startupteknologi",https://www.instagram.com/p/Cpwb6Rnuy0a/,252,6,0,24,70,70,0,0,0,282,403.0
2023-03-14,640fe659dcbd4e6b0e67fda2,photo,"Indeks Harga Saham Gabungan (IHSG) terpantau ambles nyaris 1% pada perdagangan sesi I Selasa (13/3/2023).

Per pukul 09:30 WIB, IHSG merosot 0,94% ke posisi 6.723,44.

baca berita selengkapnya di cnbcindonesia.com atau klik link di bio

#ihsg",https://www.instagram.com/p/CpwN0XiJeKz/,1009,28,0,27,24129,23520,0,0,0,1064,4.52
2023-03-14,640fe659dcbd4e6b0e67fda4,photo,"Kondisi hubungan politik China di wilayah Pasifik memanas. 

Hal ini terjadi setelah adanya salah satu negara yang memberikan sinyal akan memutus hubungan diplomatik dengan Negeri Tirai Bambu.

Dalam sebuah surat yang muncul dalam laporan CNN International, Presiden Mikronesia David Panuelo menyebut negaranya sedang berencana untuk memutus hubungannya dengan Beijing.

Ia menuduh China telah melakukan perang politik di Pasifik yang kemudian membuat situasi wilayah tidak kondusif.

Panuelo menyebut bahwa saat ini China tengah berencana melaksanakan perang merebut kembali Taiwan dan negaranya telah diatur untuk mendukung Beijing dalam pertempuran itu.

Maka itu, ia sedang berpikir untuk menjalin hubungan dengan Taipei saja.

Bagaimana tanggapan China?

Baca artikel lengkapnya hanya di cnbcindonesia.com atau klik link di bio",https://www.instagram.com/p/CpwJMHVrR4H/,1162,25,0,44,48755,47362,0,0,0,1231,2.6
2023-03-14,640fbcc17427c221ca19395e,photo,"Mohammed Bin Salman (MBS) resmi meluncurkan pembentukan maskapai nasional baru bernama Riyadh Air. Riyadh Air akan melayani lebih dari 100 tujuan di seluruh dunia pada tahun 2030.

""Maskapai penerbangan baru ini diharapkan menambah US$20 miliar untuk pertumbuhan PDB non-minyak Arab Saudi dan menciptakan lebih dari 200.000 pekerjaan baik secara langsung maupun tidak langsung,"" kata laporan kantor berita negara SPA.

Arab Saudi sedang dalam negosiasi lanjutan untuk memesan hampir 40 jet A350 dari Airbus dan Boeing. 

Baca berita lengkapnya hanya di cnbcindonesia.com atau klik link di bio

--",https://www.instagram.com/p/Cpv5lrlJ1qB/,2452,64,0,73,77598,74348,0,0,0,2589,3.48
2023-03-13,640f2fa05ac4a8745656e122,photo,"Kejaksaan Tinggi (Kejati) Bali menetapkan Rektor Universitas Udayana (Unud) Prof I Nyoman Gede Antara sebagai tersangka kasus dugaan korupsi Sumbangan Pengembangan Institusi (SPI) mahasiswa baru seleksi jalur mandiri sepanjang tahun akademik 2018 sampai 2022.

Tindak pidana korupsi itu diduga merugikan keuangan negara sekitar Rp105 miliar dan Rp3,9 miliar (Rp3.945.464.100). Juga merugikan perekonomian negara hingga sekitar Rp334,5 miliar (Rp.334.572.085.691).

Baca berita lengkapnya hanya di cnbcindonesia.com atau klik link di bio

--",https://www.instagram.com/p/Cpu08CXp2gV/,2525,70,0,57,79389,77100,0,0,0,2652,3.44
2023-03-13,640f056f2ad8251ae516c174,photo,"Krisis perbankan AS yang dimulai dari kejatuhan Silicon Valley Bank (SBV) kini memakan korban baru.

Signature Bank ditutup oleh regulator pada hari Minggu (12/3) malam waktu AS dan menambah daftar kegagalan bank besar kedua dalam tiga hari terakhir.

Bank yang berbasis di New York menghadapi krisis kepercayaan setelah krisis SVB dan ikut bergejolak dari pertaruhan pada crypto banking. Kegagalan tersebut merupakan yang terbesar ketiga dalam sejarah AS.

Bank berlomba untuk menemukan pembeli atau solusi lain untuk menopang keuangannya sebelum Senin pagi, tetapi gagal menyelesaikan penjualan tepat waktu, menurut orang yang mengetahui masalah tersebut.

Petinggi Signature Bank, Barney Frank yang merupakan mantan anggota kongres yang memprakarsai aturan keuangan Dodd-Frank setelah krisis keuangan 2008, mengatakan Signature menderita kerugian miliaran dolar pada hari Jumat.

Lantas, bagaimana nasib pelanggan? Akankah uang mereka kembali?

Baca artikel lengkapnya hanya di cnbcindonesia klik link di bio.

#as #crypto",https://www.instagram.com/p/CpugUUKJGXc/,5682,123,0,368,204509,194756,0,0,0,6173,3.17
2023-03-13,640edb822070423cd4369224,reels,"Akhir pekan lalu kita diheobhkan dengan kabar tidak sedap dari Amerika Serikat (AS) disebabkan oleh kekhawatiran akan terulangnya Krisis Financial Global 2008/2009 muncul setelah Silicon Valley Bank (SVB) kolaps.
Dampak pahit dari Krisis Keuangan 2008/2009 yang bermuara di Amerika Serikat (AS). Kejadian pahit 14 tahun lalu tersebut bisa terulang tahun ini.

SVB kolaps hanya 48 jam setelah berencana mengumpulkan dana sebesar US$ 2,25 miliar atau setara Rp 34,75 triliun (kurs US$ 1=Rp 15.445 untuk menambah modal pada Rabu (8/3/2023).

#svb #siliconvalley #kolaps",https://www.instagram.com/reel/CpuL-3wJvCp/,2777,48,471,199,0,90786,0,90449,0,3024,3.85
2023-03-13,640eb10912d85359c8249bb7,photo,"Hubungan diplomatik antara Rusia dengan Negara-negara Barat kian memburuk gegara perang di Ukraina.

Bahkan, Rusia telah memberlakukan larangan ekspor minyak kepada blok negara-negara pimpinan Amerika Serikat (AS) itu karena mereka telah menjatuhkan sanksi pada Moskow.

Namun, menurut analisa dari Citigroup, larangan ekspor yang akan dijatuhkan Rusia akan meluas tak hanya untuk komoditas energi.

Moskow diprediksi dapat mempersenjatai ekspor logam penting seperti aluminium dan paladium.

""Setiap pembatasan ekspor dapat berdampak besar bagi pasar dalam jangka pendek,"" tulis analis Citi dikutip CNN International, pekan lalu

Kenapa bisa memepengaruhi Indonesia?

Baca artikel lengkapnya hanya di cnbcindonesia.com atau klik link di bio

#putin #internasional",https://www.instagram.com/p/Cpt3HiCDnrB/,1983,45,0,91,78959,77950,0,0,0,2119,2.72
2023-03-13,640e8d91ab8a9f0eea0a426d,photo,"Upaya memperkuat militer Indonesia, Menteri Pertahanan Prabowo Subianto memborong Alutsista, salah satunya Kapal Selam Scorpene. Apa saja keunggulan kapal selam ini?

Bisa membawa 18 torpedo dan misil, dengan tabung torpedo yang membuatnya bisa melakukan peluncuran salvo, memiliki torpedo anti-kapal, dan anti-kapal selam dan anti-misil permukaan. 

Tapi, keunggulan kapal selam ini tidak berhenti hanya disitu. Baca selengkapnya di cnbcindonesia dengan cara klik link di bio
----
#prabowo #alutsista #alutsistaindonesia",https://www.instagram.com/p/Cptjs_WPIb8/,4908,180,0,181,124709,118063,0,0,0,5269,4.46
2023-03-13,640e6b2df2038a45b12d9c54,photo,"Ratusan startup menghadapi krisis pendanaan yang serius jika pencarian pembeli untuk Silicon Valley Bank (SVB) belum juga menemui titik terang hingga pekan depan.

Pasalnya, SVB merupakan tumpuan bagi startup yang menyimpan uang tunai untuk operasional perusahaan. Ketika bank dibekukan, maka dana mereka terkunci di dalam.

Kebutuhan startup untuk membayar payroll adalah salah satu yang digaungkan di seluruh ekosistem modal ventura, dikutip dari Insider, Minggu (12/2/2023).

Efek Domino SVB Kolaps untuk Startup Bisa Datangkan 'Kiamat'

Bahkan, perusahaan yang tidak berhubungan langsung dengan SVB juga akan terkena dampak.

Salah satunya startup kesehatan Flow Health yang menggunakan layanan HR dan payroll dari Rippling.

Rippling mempercayakan akunnya pada SVB sebagai penyedia payroll. Dengan kata lain, semua startup yang menggunakan jasa Rippling akan turut terkena dampak.

Efek domino dari SVB bisa jadi membuat banyak startup harus tutup buku jika pendanaannya tak cukup kuat dan tidak meletakkan dana di tempat lain. Menurut situs resminya, SVB mendukung lebih dari setengah startup di AS pada akhir Desember lalu.

Baca berita selengkapnya di www.cnbcindonesia.com atau klik link di Bio 

#svb #startup",https://www.instagram.com/p/CptUyafJH-t/,2395,32,0,150,97648,92210,0,0,0,2577,2.79
