,link post,date,post id,Cluster,entity,x,y,sentiment,content,sentiment_overall,sentiment_weight,likes,impressions,retweets,replies,clicks,quotes,id,popularity_score,controversiality_score
0,https://twitter.com/cnbcindonesia/status/1632904292960018436,2023-03-07,64068dae1d49c5435b757ff1,6,rafael,30.681234,29.70125,"{'negative': 0.8752899169921875, 'positive': 0.11122205853462219, 'neutral': 0.01348801888525486}",Canggih! Ini 'Jurus' Rafael Alun Sembunyikan Harta https://t.co/nF1kahA1Vw,negative,0.8752899169921875,2,0,1,0,0,0,1632904292960018436,3,0
1,https://twitter.com/cnbcindonesia/status/1632902782242922496,2023-03-07,64068dae1d49c5435b757ff3,3,ri,-59.645412,29.42046,"{'negative': 0.9979361295700073, 'neutral': 0.0012140352046117187, 'positive': 0.0008498512324877083}",RI Harus Belajar! Subsidi Mobil Listrik Gagal di Negara Ini https://t.co/YRkTh0vAMC,negative,0.9979361295700072,0,0,1,0,0,0,1632902782242922496,1,0
2,https://twitter.com/cnbcindonesia/status/1632899001543536640,2023-03-07,64068dae1d49c5435b757ff9,6,astra,18.537992,14.406381,"{'negative': 0.6544075012207031, 'positive': 0.1778392791748047, 'neutral': 0.1677531898021698}",Kisah Pendiri Astra yang Tak Pernah 'Manjakan' Penguasa https://t.co/E41ynRejWq,negative,0.6544075012207031,2,0,0,0,0,0,1632899001543536640,2,0
3,https://twitter.com/cnbcindonesia/status/1632897743025741824,2023-03-07,64068dae1d49c5435b757ffb,6,kpk,27.895153,33.296104,"{'positive': 0.5397729277610779, 'neutral': 0.3412916362285614, 'negative': 0.11893542110919952}",KPK Sebut Rafael Alun Trisambodo 'Pede &amp; Baik Banget' https://t.co/uRlO8EvCiT,positive,0.5397729277610779,0,0,0,0,0,0,1632897743025741824,0,0
4,https://twitter.com/cnbcindonesia/status/1632897743025741824,2023-03-07,64068dae1d49c5435b757ffb,6,rafael alun trisambodo,27.895153,33.296104,"{'positive': 0.5397729277610779, 'neutral': 0.3412916362285614, 'negative': 0.11893542110919952}",KPK Sebut Rafael Alun Trisambodo 'Pede &amp; Baik Banget' https://t.co/uRlO8EvCiT,positive,0.5397729277610779,0,0,0,0,0,0,1632897743025741824,0,0
5,https://twitter.com/cnbcindonesia/status/1632896484591935490,2023-03-07,64068dae1d49c5435b757ffd,5,rafael,24.467442,31.936087,"{'neutral': 0.9225770831108093, 'negative': 0.05078781396150589, 'positive': 0.026635155081748962}","Temuan Baru di Kasus Rafael Bikin Geger, Libatkan Keluarga https://t.co/m4IWOGShDe",neutral,0.9225770831108092,1,0,0,0,0,0,1632896484591935490,1,0
6,https://twitter.com/cnbcindonesia/status/1632893965295931394,2023-03-07,640680e5cc97b41afa56ece2,1,erick,16.511236,-7.5381207,"{'negative': 0.9892361760139465, 'neutral': 0.009615563787519932, 'positive': 0.0011482811532914639}","Ngeri, Erick Bilang Skandal Keuangan Baru Besar Akan Tersibak https://t.co/5RW75ETMHM",negative,0.9892361760139464,1,0,0,0,0,0,1632893965295931394,1,0
7,https://twitter.com/cnbcindonesia/status/1632888929006362628,2023-03-07,640680e6cc97b41afa56ece8,1,ojk,29.001776,-25.449083,"{'neutral': 0.9791741967201233, 'positive': 0.010660613887012005, 'negative': 0.010165180079638958}","OJK Rancang Aturan Darurat Saham, Bulan Depan Rampung! https://t.co/VjK8QljfU9",neutral,0.9791741967201232,1,0,0,0,0,0,1632888929006362628,1,0
8,https://twitter.com/cnbcindonesia/status/1632888012014231554,2023-03-07,640680e6cc97b41afa56ecea,0,bbm,-6.0662513,-49.65129,"{'neutral': 0.6820752024650574, 'negative': 0.1920662671327591, 'positive': 0.12585851550102234}","Kemarin apa saja berita yang ramai ya? Berikut rangkumannya:

1. MU Tumbang 7-0 Digeprek Liverpool (link: https://t.co/aVCgevxOhP) 

2. Depo BBM Pelumpang Bakal Dipindahkan (link: https://t.co/IzluB4rrm6)

3. Beli Motor Listrik Dapat Subsidi (link: https://t.co/HsBifTM2Dt)",neutral,0.6820752024650574,1,0,1,0,0,0,1632888012014231554,2,0
9,https://twitter.com/cnbcindonesia/status/1632880114215034887,2023-03-07,640680e6cc97b41afa56ecf4,3,jokowi,-56.30069,23.327934,"{'negative': 0.9962103366851807, 'neutral': 0.002541634952649474, 'positive': 0.001248033600859344}",Mau Beralih ke Kendaraan Listrik? Tiru Negara Ini Pak Jokowi https://t.co/5DfPpUqGjP,negative,0.9962103366851808,0,0,0,0,0,0,1632880114215034887,0,0
10,https://twitter.com/cnbcindonesia/status/1632757804560687105,2023-03-06,6406010a3d0ce359de14950d,1,the fed,32.41842,-22.042925,"{'neutral': 0.9898265600204468, 'positive': 0.006585213355720043, 'negative': 0.003588199382647872}","Menanti Sabda Pejabat The Fed, Wall Street Dibuka Menghijau https://t.co/ken4jkJJj7",neutral,0.9898265600204468,0,0,0,0,0,0,1632757804560687105,0,0
